Temperature_C,Humidity_%,AB1_Students,AB2_Students,AB3_Students,AB4_Students,AB5_Students,MAB1_Students,MAB2_Students,MAB3_Students,MAB4_Students,Active_Windows_Labs,Active_Mac_Labs,Central_Library_Occupancy,Admin_Office_Staff,Glass_Cafeteria_Occupancy,Open_Cafeteria_Occupancy,Auditorium_Active,Boys_Hostel_Load_kWh,Girls_Hostel_Load_kWh,Solar_Generation_kWh,Year,Month,Day_Of_Month,Hour,Day_Encoded,Total_AB_Students,Total_MAB_Students,Total_Students,Total_Hostel_Load,Total_Active_Labs
34.4,39,649,560,544,642,660,450,569,534,555,2,6,302,5,239,124,0,572,522,47,2026,5,22,18,0,3055,2108,5163,1094,8
34.2,46,713,636,608,509,608,441,465,510,410,35,16,364,180,123,49,0,547,519,86,2026,6,10,17,6,3074,1826,4900,1066,51
28.6,39,1444,1401,1507,1144,1551,999,1257,1191,1035,26,24,120,180,167,61,0,330,339,114,2026,2,3,9,5,7047,4482,11529,669,50
37.5,38,136,125,102,108,143,89,102,82,94,8,0,178,5,235,89,0,430,346,391,2026,5,31,13,3,614,367,981,776,8
36.7,38,1554,938,1188,1111,957,991,855,756,1089,33,34,357,180,123,63,0,378,383,212,2026,4,7,15,5,5748,3691,9439,761,67
32.5,60,10,3,21,15,38,29,33,31,7,0,0,6,5,20,10,0,680,600,0,2026,6,8,23,1,87,100,187,1280,0
30.5,51,1324,1616,1594,1297,1455,1064,853,1151,1242,30,11,193,180,57,27,0,414,350,244,2026,6,22,10,1,7286,4310,11596,764,41
29.2,41,4,5,10,27,16,14,3,21,6,0,0,18,5,25,6,0,345,289,150,2026,1,10,15,2,62,44,106,634,0
26.6,51,29,5,16,27,9,34,13,4,40,0,0,8,5,20,10,0,490,510,0,2026,3,21,0,2,86,91,177,1000,0
25.4,51,11,12,21,21,30,30,2,8,30,0,0,4,5,20,10,0,490,436,0,2026,2,13,1,0,95,70,165,926,0
36.1,42,1856,1553,1669,1311,1667,1376,1155,1078,1182,5,13,80,5,164,55,0,477,498,115,2026,5,13,8,6,8056,4791,12847,975,18
31.8,55,4,16,10,27,8,1,13,29,3,0,0,14,5,20,10,0,641,638,0,2026,6,12,22,0,65,46,111,1279,0
30.5,42,18,9,11,16,5,9,19,26,10,0,0,1,5,20,10,0,572,539,0,2026,3,7,23,2,59,64,123,1111,0
31.5,44,141,153,149,148,178,132,111,155,158,0,0,60,5,98,38,0,502,447,96,2026,4,19,8,3,769,556,1325,949,0
34.4,38,243,246,200,182,163,193,161,152,176,1,7,145,5,41,22,0,410,367,309,2026,4,25,14,2,1034,682,1716,777,8
32.5,56,13,33,9,35,31,8,14,40,9,0,0,9,5,20,10,0,593,599,0,2026,4,5,23,3,121,71,192,1192,0
27.6,42,178,184,171,159,213,131,187,173,190,8,0,150,5,79,27,0,316,312,86,2026,1,18,16,3,905,681,1586,628,8
25.8,46,238,204,177,182,202,137,132,148,173,0,0,60,5,95,31,0,376,369,60,2026,1,17,8,2,1003,590,1593,745,0
28.9,38,1668,1169,1504,1085,1144,1087,1140,1164,995,38,31,305,180,122,49,0,347,335,144,2026,2,17,15,5,6570,4386,10956,682,69
30.6,62,30,21,23,24,30,19,17,21,20,0,0,8,5,20,10,0,676,604,29,2026,6,21,6,3,128,77,205,1280,0
25.5,58,33,22,8,35,40,37,11,8,27,0,0,16,5,11,6,0,413,505,0,2026,1,8,23,4,138,83,221,918,0
27.9,40,16,13,18,21,25,5,5,5,2,0,0,19,5,22,14,0,401,388,57,2026,1,5,8,1,93,17,110,789,0
28.9,58,21,10,33,34,12,30,40,22,1,0,0,10,5,20,10,0,547,578,0,2026,5,23,2,2,110,93,203,1125,0
35.8,41,776,899,710,728,651,500,551,577,759,45,27,270,180,409,151,0,436,392,369,2026,6,8,12,1,3764,2387,6151,828,72
32.0,38,1659,1522,1407,1266,1512,1065,1170,1427,1365,36,39,455,180,137,52,0,340,315,160,2026,3,19,16,4,7366,5027,12393,655,75
30.3,56,17,1,30,33,28,22,16,7,35,0,0,2,5,20,10,0,563,561,0,2026,4,3,2,0,109,80,189,1124,0
21.7,66,0,30,8,11,38,0,14,16,38,0,0,9,5,20,10,0,461,448,0,2026,1,24,1,2,87,68,155,909,0
35.7,45,1508,1366,1274,1202,1331,971,1003,1100,1212,34,32,278,180,78,34,0,390,370,276,2026,6,5,14,0,6681,4286,10967,760,66
35.3,38,1390,1223,1080,1280,1266,1083,1126,1083,1010,33,35,339,180,143,57,0,380,356,170,2026,5,26,16,5,6239,4302,10541,736,68
28.3,48,4,13,26,19,38,31,6,34,36,0,0,5,5,20,10,0,497,485,0,2026,3,15,4,3,100,107,207,982,0
32.3,38,588,677,537,493,668,505,614,439,492,9,3,320,5,235,122,0,485,515,42,2026,4,23,18,4,2963,2050,5013,1000,12
32.0,46,31,26,29,26,28,22,26,23,20,0,0,4,5,20,10,0,579,535,22,2026,4,18,6,2,140,91,231,1114,0
32.7,38,827,693,749,674,751,785,602,483,757,44,26,265,180,399,161,0,358,335,259,2026,3,30,12,1,3694,2627,6321,693,70
31.4,38,833,678,756,676,778,557,641,563,688,48,41,317,180,413,131,0,395,313,262,2026,3,27,13,0,3721,2449,6170,708,89
31.6,38,2024,1658,1386,1785,1707,1758,1556,1423,2024,39,13,357,180,58,24,0,355,342,239,2026,3,16,11,1,8560,6761,15321,697,52
36.5,38,1463,1366,1448,1042,1123,1189,914,902,1153,38,39,345,180,94,35,0,391,364,365,2026,5,27,14,6,6442,4158,10600,755,77
27.7,54,4,30,1,26,40,14,1,17,35,0,0,3,5,20,10,0,540,500,0,2026,3,8,3,3,101,67,168,1040,0
36.1,41,1679,1133,1236,1443,1444,1205,1276,1050,1419,14,15,80,5,170,64,0,505,498,101,2026,5,5,8,5,6935,4950,11885,1003,29
25.4,55,4,6,32,20,26,28,10,16,13,0,0,1,5,20,10,0,570,496,0,2026,3,14,3,2,88,67,155,1066,0
29.6,42,163,193,180,154,172,139,148,126,165,0,0,3,5,20,10,0,539,494,18,2026,3,30,6,1,862,578,1440,1033,0
34.2,38,935,799,716,595,785,757,542,706,636,36,31,264,180,407,164,0,384,345,348,2026,4,28,12,5,3830,2641,6471,729,67
34.2,45,2008,1467,1410,1371,1468,1222,1332,1337,1539,48,33,264,180,55,23,0,397,387,305,2026,6,12,11,0,7724,5430,13154,784,81
35.2,38,1293,1290,1221,1192,1376,997,1142,1193,1181,35,44,343,180,95,41,1,406,400,276,2026,5,20,14,6,6372,4513,10885,806,79
30.4,40,723,596,587,466,689,431,539,569,528,0,5,316,5,319,110,0,480,458,49,2026,3,26,18,4,3061,2067,5128,938,5
27.1,72,10,13,23,17,11,27,32,29,16,0,0,8,5,20,10,0,630,623,0,2026,6,28,3,3,74,104,178,1253,0
25.0,58,151,178,149,145,153,127,185,154,169,0,0,3,5,20,10,0,478,397,12,2026,1,30,6,0,776,635,1411,875,0
30.5,54,36,10,9,18,33,13,39,23,33,0,0,8,5,20,10,0,551,560,0,2026,4,15,4,6,106,108,214,1111,0
32.2,38,598,557,602,592,489,489,541,380,520,11,9,229,5,252,80,0,526,450,0,2026,3,30,19,1,2838,1930,4768,976,20
32.8,47,1879,1521,1121,911,1282,1186,1045,1288,1019,32,30,350,180,145,60,0,397,405,180,2026,6,29,16,1,6714,4538,11252,802,62
30.0,41,1499,1276,1768,1028,1316,1100,1548,1448,1503,28,45,256,180,74,27,0,335,309,173,2026,2,11,10,6,6887,5599,12486,644,73
24.5,49,1252,964,1024,1011,899,985,950,783,1100,10,5,80,5,168,64,0,387,384,62,2026,1,20,8,5,5150,3818,8968,771,15
36.3,38,1441,1453,1162,1612,1492,1084,1027,980,1349,40,30,277,180,91,36,0,368,333,325,2026,5,19,14,5,7160,4440,11600,701,70
31.9,38,1413,1394,1306,986,1316,978,910,1013,1149,37,41,389,180,139,56,0,360,350,228,2026,3,26,15,4,6415,4050,10465,710,78
33.7,54,1035,1144,1350,1002,1192,998,976,1060,1167,13,13,80,5,177,61,0,523,505,94,2026,6,4,8,4,5723,4201,9924,1028,26
33.1,46,36,14,3,31,16,26,19,21,9,0,0,1,5,20,10,0,614,620,0,2026,4,14,22,5,100,75,175,1234,0
34.9,38,648,874,817,608,756,565,673,766,770,35,40,353,180,402,168,0,405,368,418,2026,5,20,13,6,3703,2774,6477,773,75
28.0,38,130,112,115,104,116,92,94,125,105,1,2,162,5,239,89,0,363,308,257,2026,2,21,12,2,577,416,993,671,3
27.7,47,26,2,34,24,38,33,10,10,6,0,0,0,5,20,10,0,618,597,0,2026,4,27,3,1,124,59,183,1215,0
33.1,43,24,5,21,22,35,4,3,33,13,0,0,11,5,20,10,0,583,645,0,2026,4,13,22,1,107,53,160,1228,0
27.5,44,13,16,24,19,29,15,27,27,23,0,0,1,5,14,13,0,401,409,0,2026,1,9,20,0,101,92,193,810,0
25.0,53,1,21,24,40,34,10,36,38,24,0,0,5,5,20,10,0,422,494,0,2026,2,13,4,0,120,108,228,916,0
30.0,59,17,8,15,23,37,7,17,11,24,0,0,3,5,20,10,0,688,595,0,2026,6,27,22,2,100,59,159,1283,0
31.7,42,128,87,106,106,115,86,97,80,89,0,5,162,5,206,96,0,309,347,240,2026,2,7,12,2,542,352,894,656,5
29.8,44,164,162,207,120,154,171,139,128,171,0,0,1,5,20,10,0,530,491,22,2026,3,2,6,1,807,609,1416,1021,0
25.9,53,34,29,20,9,18,14,31,29,9,0,0,9,5,20,10,0,516,510,0,2026,3,19,1,4,110,83,193,1026,0
33.1,38,188,206,166,186,194,141,157,182,170,5,1,167,5,83,33,0,351,342,146,2026,3,29,16,3,940,650,1590,693,6
33.7,43,485,398,462,414,474,429,241,381,396,0,0,40,5,164,64,0,498,474,60,2026,5,25,7,1,2233,1447,3680,972,0
27.0,41,999,828,879,747,699,638,647,558,643,37,48,224,180,428,138,0,299,325,194,2026,1,28,12,6,4152,2486,6638,624,85
30.2,45,192,191,145,189,134,151,107,126,178,0,0,2,5,20,10,0,554,485,20,2026,3,9,6,1,851,562,1413,1039,0
25.4,48,25,26,29,17,24,17,16,23,23,0,0,70,5,20,10,0,512,499,0,2026,1,31,21,2,121,79,200,1011,0
29.6,66,24,27,17,5,4,0,25,23,19,0,0,2,5,20,10,0,608,576,0,2026,6,19,4,0,77,67,144,1184,0
38.1,38,570,560,566,640,647,410,486,403,562,20,21,251,180,145,60,0,519,510,90,2026,5,29,17,0,2983,1861,4844,1029,41
26.2,52,7,14,13,6,22,20,11,0,25,0,0,10,5,20,10,0,509,528,0,2026,3,15,2,3,62,56,118,1037,0
28.8,46,24,17,27,24,24,23,23,21,22,0,0,14,5,20,10,0,530,522,22,2026,3,22,6,3,116,89,205,1052,0
37.9,38,281,276,280,195,209,252,193,200,246,8,4,136,5,39,17,0,356,355,209,2026,5,9,10,2,1241,891,2132,711,12
25.6,52,206,197,165,165,197,129,134,140,166,0,0,14,5,20,10,0,512,453,14,2026,2,20,6,0,930,569,1499,965,0
21.9,63,5,30,7,19,25,30,31,16,5,0,0,12,5,20,10,0,467,449,0,2026,1,22,5,4,86,82,168,916,0
32.6,52,29,33,31,25,35,34,25,33,29,0,0,11,5,20,10,0,667,511,0,2026,5,18,5,1,153,121,274,1178,0
23.4,53,29,23,25,22,24,14,20,23,20,0,0,59,5,20,10,0,500,451,0,2026,1,25,21,3,123,77,200,951,0
32.0,38,1858,1328,1430,1598,1688,1455,1426,1241,1753,36,17,257,180,64,29,0,348,357,225,2026,3,30,11,1,7902,5875,13777,705,53
33.5,41,22,23,23,22,29,22,22,21,21,0,0,5,5,20,10,0,541,504,20,2026,4,4,6,2,119,86,205,1045,0
31.0,66,32,18,25,14,36,30,23,24,4,0,0,10,5,20,10,0,587,562,0,2026,6,30,4,5,125,81,206,1149,0
28.6,43,191,178,176,178,208,142,158,134,171,0,0,74,5,20,10,0,556,526,0,2026,2,10,21,5,931,605,1536,1082,0
23.8,53,9,30,5,31,11,29,11,11,12,0,0,15,5,20,10,0,512,470,0,2026,3,25,3,6,86,63,149,982,0
33.7,43,954,704,818,679,789,476,793,653,757,31,41,302,180,342,172,0,404,375,382,2026,6,19,13,0,3944,2679,6623,779,72
26.6,41,1420,1404,1295,1225,1032,1056,1110,1141,1031,34,35,345,180,99,34,0,344,305,163,2026,1,22,14,4,6376,4338,10714,649,69
27.3,42,9,0,14,1,14,27,24,9,22,0,0,9,5,20,10,0,579,533,0,2026,3,25,23,6,38,82,120,1112,0
27.0,48,33,0,24,13,20,26,23,6,9,0,0,13,5,20,10,0,513,457,0,2026,2,1,23,3,90,64,154,970,0
32.5,52,1253,1346,1481,1243,1201,919,1405,858,1209,21,31,120,180,138,73,0,397,371,165,2026,6,26,9,0,6524,4391,10915,768,52
30.3,44,32,29,17,12,0,9,28,4,25,0,0,7,5,20,10,0,610,507,0,2026,3,13,22,0,90,66,156,1117,0
32.5,39,869,792,645,628,740,636,552,600,650,8,10,411,5,290,91,0,479,434,0,2026,3,10,19,5,3674,2438,6112,913,18
28.8,52,33,6,40,38,30,14,28,19,7,0,0,14,5,20,10,0,632,539,0,2026,4,29,2,6,147,68,215,1171,0
32.8,54,20,28,22,30,23,31,19,31,20,0,0,6,5,20,10,0,524,582,0,2026,5,8,1,0,123,101,224,1106,0
36.0,38,108,83,101,95,86,73,69,70,67,0,0,177,5,64,30,0,521,535,106,2026,4,12,17,3,473,279,752,1056,0
38.8,38,944,834,827,796,797,732,760,719,586,39,39,475,180,383,167,0,380,394,334,2026,5,13,13,6,4198,2797,6995,774,78
26.4,38,128,107,115,93,117,109,101,89,104,8,5,146,5,229,88,0,323,307,165,2026,1,18,13,3,560,403,963,630,13
23.3,56,17,9,8,34,16,11,7,1,8,0,0,0,5,21,8,0,450,452,0,2026,1,6,3,5,84,27,111,902,0
37.7,38,2038,1695,2267,1725,1406,1655,1350,1737,1788,44,36,396,180,67,25,0,415,339,310,2026,5,13,11,6,9131,6530,15661,754,80
30.5,38,74,87,82,81,100,91,79,62,75,0,0,161,5,169,71,0,483,450,43,2026,3,22,18,3,424,307,731,933,0
25.8,47,22,27,30,22,24,22,20,25,23,0,0,112,5,153,58,0,431,414,0,2026,2,21,20,2,125,90,215,845,0
23.4,56,26,31,8,40,33,34,20,31,19,0,0,8,5,20,10,0,437,437,0,2026,2,4,3,6,138,104,242,874,0
28.7,42,260,224,207,213,208,218,152,190,223,3,4,143,5,37,17,0,319,313,207,2026,2,28,11,2,1112,783,1895,632,7
29.3,38,1137,1350,1404,1151,1205,1069,1056,1080,783,32,33,333,180,91,38,0,342,289,219,2026,2,27,14,0,6247,3988,10235,631,65
25.5,59,6,33,29,0,9,26,9,4,30,0,0,8,5,20,14,0,474,428,0,2026,1,5,4,1,77,69,146,902,0
32.1,49,1249,1317,1137,1238,995,1238,722,1202,1081,16,26,120,180,171,70,0,427,357,171,2026,6,19,9,0,5936,4243,10179,784,42
34.6,38,195,168,223,215,206,173,162,164,136,8,5,172,5,73,33,0,356,374,207,2026,3,7,15,2,1007,635,1642,730,13
31.3,42,207,198,179,191,176,129,172,168,167,0,0,14,5,20,10,0,487,510,18,2026,3,10,6,5,951,636,1587,997,0
30.7,38,738,626,767,603,568,384,526,685,725,3,12,350,5,259,102,0,447,434,0,2026,3,16,19,1,3302,2320,5622,881,15
28.0,39,1686,1457,1517,1480,1593,1065,1085,1463,1336,39,29,221,180,61,26,0,323,338,190,2026,2,23,11,1,7733,4949,12682,661,68
30.8,55,1121,1226,1186,1021,1282,1018,1357,873,1217,5,8,80,5,144,66,0,428,466,114,2026,6,24,8,6,5836,4465,10301,894,13
29.7,66,0,9,35,21,6,24,9,10,22,0,0,7,5,20,10,0,562,594,0,2026,6,14,2,3,71,65,136,1156,0
30.2,63,211,198,178,156,166,148,164,136,145,0,0,7,5,20,10,0,655,622,22,2026,6,18,6,4,909,593,1502,1277,0
26.1,48,35,28,24,22,14,11,27,38,0,0,0,15,5,20,10,0,564,446,0,2026,2,15,23,3,123,76,199,1010,0
30.3,53,13,28,9,17,20,0,40,7,33,0,0,9,5,20,10,0,548,488,0,2026,4,29,1,6,87,80,167,1036,0
32.8,44,395,414,391,395,410,368,357,403,350,0,0,40,5,185,69,0,535,472,53,2026,5,22,7,0,2005,1478,3483,1007,0
31.1,48,5,17,23,26,23,40,15,9,33,0,0,13,5,20,10,0,500,531,0,2026,3,5,5,4,94,97,191,1031,0
35.1,50,1410,1566,1353,1050,1349,1099,948,998,1067,31,29,337,180,140,60,0,414,360,182,2026,6,3,16,6,6728,4112,10840,774,60
36.3,38,137,116,95,99,131,97,94,93,114,0,1,173,5,197,100,0,402,401,323,2026,5,31,12,3,578,398,976,803,1
27.1,42,1124,983,1017,970,1246,918,1001,1130,1038,2,7,80,5,190,55,0,407,374,68,2026,2,26,8,4,5340,4087,9427,781,9
32.5,60,186,192,132,136,176,126,116,121,144,0,0,46,5,20,10,0,683,690,0,2026,6,10,21,6,822,507,1329,1373,0
34.8,46,867,905,699,670,552,558,557,668,821,42,44,265,180,336,149,0,385,357,339,2026,6,9,12,5,3693,2604,6297,742,86
37.7,38,120,101,95,92,104,78,99,86,103,0,0,158,5,150,70,0,570,477,61,2026,5,10,18,3,512,366,878,1047,0
28.9,54,11,35,30,31,15,33,12,24,12,0,0,2,5,20,10,0,603,556,0,2026,5,29,2,0,122,81,203,1159,0
27.6,43,38,30,23,11,24,31,30,8,10,0,0,6,5,20,10,0,521,542,0,2026,2,10,22,5,126,79,205,1063,0
22.9,63,6,29,6,8,7,0,3,14,8,0,0,6,5,20,10,0,442,444,0,2026,1,20,0,5,56,25,81,886,0
33.0,38,715,594,667,363,421,472,519,457,561,12,11,295,5,287,109,0,526,478,0,2026,4,22,19,6,2760,2009,4769,1004,23
31.2,61,29,26,26,23,22,20,20,21,17,0,0,76,5,20,10,0,687,560,0,2026,6,20,21,2,126,78,204,1247,0
28.6,43,206,154,176,130,191,154,147,133,124,0,0,4,5,20,10,0,516,535,18,2026,3,23,6,1,857,558,1415,1051,0
30.6,58,32,7,30,39,17,5,22,5,22,0,0,5,5,20,10,0,520,629,0,2026,5,23,0,2,125,54,179,1149,0
31.7,48,27,28,27,5,27,16,22,14,17,0,0,11,5,20,10,0,550,579,0,2026,5,17,5,3,114,69,183,1129,0
33.7,41,60,73,65,55,41,47,54,54,58,0,0,40,5,81,38,0,462,465,43,2026,5,30,7,2,294,213,507,927,0
26.0,51,153,148,198,137,146,159,145,124,153,0,0,74,5,20,10,0,468,504,0,2026,1,16,21,0,782,581,1363,972,0
26.1,45,686,552,473,541,582,464,516,445,452,25,27,272,180,147,44,0,415,399,50,2026,1,27,17,5,2834,1877,4711,814,52
32.7,62,28,38,37,28,0,11,36,11,28,0,0,2,5,20,10,0,624,690,0,2026,6,8,22,1,131,86,217,1314,0
37.8,38,107,103,131,113,93,76,94,101,93,6,3,103,5,203,106,0,401,388,384,2026,5,16,13,2,547,364,911,789,9
29.7,38,1229,1255,1147,1341,1175,1100,1092,1208,1314,29,27,120,180,140,56,0,340,350,136,2026,3,23,9,1,6147,4714,10861,690,56
27.7,53,21,0,6,40,27,26,31,37,38,0,0,9,5,20,10,0,448,516,0,2026,3,4,2,6,94,132,226,964,0
34.8,38,1404,1251,958,1296,995,928,992,803,976,37,33,342,180,122,54,0,372,320,239,2026,4,21,15,5,5904,3699,9603,692,70
24.6,47,3,11,9,3,22,2,9,2,36,0,0,9,5,20,10,0,495,472,0,2026,2,12,2,4,48,49,97,967,0
26.1,44,24,24,35,30,3,40,0,10,5,0,0,15,5,20,10,0,518,478,0,2026,1,12,22,1,116,55,171,996,0
32.6,49,157,170,119,134,153,161,130,151,141,0,0,267,5,228,100,0,556,539,0,2026,6,30,20,5,733,583,1316,1095,0
29.0,39,1207,1059,1204,1144,1290,1012,1129,1001,863,37,24,339,180,81,36,0,352,286,203,2026,1,28,14,6,5904,4005,9909,638,61
34.2,38,1694,1600,1711,1599,1670,1139,1145,1157,1426,23,35,308,180,72,26,0,363,373,252,2026,4,16,11,4,8274,4867,13141,736,58
32.0,38,81,85,119,78,87,78,82,74,89,0,0,97,5,149,72,0,486,425,0,2026,3,29,19,3,450,323,773,911,0
33.3,48,1254,1362,1042,1015,1292,1114,1253,1029,1148,39,49,369,180,93,38,0,409,401,406,2026,6,22,14,1,5965,4544,10509,810,88
33.6,40,448,536,449,344,426,363,305,381,338,0,0,40,5,133,63,0,472,449,55,2026,4,3,7,0,2203,1387,3590,921,0
31.8,38,907,1010,1043,642,855,758,676,681,856,48,26,396,180,400,164,0,365,370,349,2026,3,20,12,0,4457,2971,7428,735,74
34.7,38,84,89,89,74,76,70,80,65,78,0,0,134,5,90,30,0,563,546,99,2026,5,24,17,3,412,293,705,1109,0
35.2,44,60,70,49,45,56,40,51,51,53,0,0,40,5,99,35,0,452,443,49,2026,5,31,7,3,280,195,475,895,0
35.3,38,559,552,491,561,616,553,477,552,566,39,35,352,180,146,49,0,551,584,111,2026,5,26,17,5,2779,2148,4927,1135,74
34.8,42,158,178,174,153,165,155,125,134,140,0,0,12,5,20,10,0,608,553,25,2026,4,9,6,4,828,554,1382,1161,0
31.9,49,179,194,175,142,165,150,128,154,152,0,0,4,5,20,10,0,584,590,22,2026,4,17,6,0,855,584,1439,1174,0
28.8,54,31,39,3,25,19,29,31,7,23,0,0,3,5,20,10,0,584,581,0,2026,4,2,2,4,117,90,207,1165,0
33.6,64,26,28,25,22,25,21,23,17,23,0,0,2,5,20,10,0,670,635,22,2026,6,6,6,2,126,84,210,1305,0
27.1,54,30,34,14,5,28,19,23,26,16,0,0,4,5,20,10,0,444,417,0,2026,2,5,5,4,111,84,195,861,0
27.2,38,1031,1271,1281,1197,1225,1065,1240,1098,1074,35,37,378,180,88,35,0,316,323,201,2026,1,23,14,0,6005,4477,10482,639,72
29.7,38,657,600,656,519,585,502,439,447,595,11,4,249,5,301,114,0,440,474,0,2026,3,25,19,6,3017,1983,5000,914,15
27.3,45,24,12,27,16,26,0,21,27,17,0,0,14,5,23,5,0,408,412,0,2026,1,4,19,3,105,65,170,820,0
34.5,38,197,174,183,193,217,131,159,130,186,4,1,177,5,73,37,0,387,360,152,2026,4,26,16,3,964,606,1570,747,5
37.1,38,197,180,231,187,191,105,173,214,164,4,6,150,5,82,27,0,400,399,251,2026,5,3,15,3,986,656,1642,799,10
34.1,38,1571,1338,1368,1569,1198,1459,1204,1164,1420,18,39,300,180,74,21,0,396,391,228,2026,4,17,10,0,7044,5247,12291,787,57
33.4,39,204,172,197,206,182,169,140,157,158,0,7,218,5,48,21,0,433,332,299,2026,6,20,14,2,961,624,1585,765,7
31.2,38,1392,1591,1702,1342,1820,1159,1296,1533,1274,41,47,271,180,63,24,0,386,360,304,2026,3,24,11,5,7847,5262,13109,746,88
27.0,43,197,156,121,163,190,147,129,120,158,0,0,249,5,266,127,0,423,468,0,2026,2,19,20,4,827,554,1381,891,0
32.6,39,495,596,611,561,667,528,432,430,544,2,12,316,5,273,90,0,455,479,48,2026,3,30,18,1,2930,1934,4864,934,14
26.9,50,5,8,26,29,38,27,39,11,29,0,0,13,5,20,10,0,504,483,0,2026,2,15,22,3,106,106,212,987,0
39.0,38,146,143,152,135,142,119,97,148,129,2,4,234,5,228,70,0,383,368,285,2026,5,9,13,2,718,493,1211,751,6
36.3,38,233,251,252,218,222,188,164,198,223,5,7,179,5,45,14,0,395,363,350,2026,5,30,11,2,1176,773,1949,758,12
32.6,39,215,279,234,185,248,194,192,175,200,1,7,59,5,45,10,0,369,321,225,2026,4,19,10,3,1161,761,1922,690,8
30.6,47,28,26,20,23,31,21,21,24,20,0,0,11,5,20,10,0,601,526,20,2026,4,25,6,2,128,86,214,1127,0
34.9,38,912,734,666,848,657,641,576,559,735,37,41,219,180,401,141,0,336,396,290,2026,4,14,12,5,3817,2511,6328,732,78
30.6,62,308,443,419,396,472,324,301,291,334,0,0,40,5,168,66,0,534,467,50,2026,6,22,7,1,2038,1250,3288,1001,0
32.9,57,511,403,356,384,511,275,252,345,357,0,0,40,5,154,61,0,537,479,66,2026,6,3,7,6,2165,1229,3394,1016,0
30.3,69,32,36,4,7,30,38,30,10,3,0,0,6,5,20,10,0,563,588,0,2026,6,6,1,2,109,81,190,1151,0
29.9,38,1607,1164,1273,1246,1506,1030,982,1071,1298,29,25,282,180,118,58,0,330,302,122,2026,2,13,16,0,6796,4381,11177,632,54
33.0,46,31,27,26,24,24,19,22,22,24,0,0,8,5,20,10,0,536,576,23,2026,5,17,6,3,132,87,219,1112,0
31.0,38,1336,1285,1595,1011,1165,1257,972,1099,1264,33,31,357,180,122,51,0,369,293,138,2026,3,23,16,1,6392,4592,10984,662,64
33.6,40,177,173,164,201,172,133,141,157,149,0,0,265,5,280,104,0,526,544,0,2026,4,3,20,0,887,580,1467,1070,0
31.3,43,236,232,236,191,221,150,181,189,203,3,7,154,5,37,15,0,375,311,194,2026,2,7,10,2,1116,723,1839,686,10
31.4,38,700,563,627,393,500,565,476,380,480,2,1,238,5,265,103,0,491,458,0,2026,3,2,19,1,2783,1901,4684,949,3
33.5,49,16,37,13,1,21,39,27,27,3,0,0,3,5,20,10,0,525,540,0,2026,4,9,5,4,88,96,184,1065,0
26.1,47,17,12,16,4,23,7,26,0,24,0,0,0,5,19,12,0,490,456,0,2026,1,10,21,2,72,57,129,946,0
32.1,38,793,725,846,667,833,619,550,751,684,34,30,248,180,368,180,0,345,364,333,2026,3,26,12,4,3864,2604,6468,709,64
31.4,70,33,15,8,30,1,2,3,17,25,0,0,13,5,20,10,0,591,602,0,2026,6,12,0,0,87,47,134,1193,0
24.5,53,1,39,5,3,38,13,38,40,7,0,0,3,5,20,10,0,471,534,0,2026,2,17,5,5,86,98,184,1005,0
34.8,42,534,454,551,453,535,419,426,375,386,0,0,40,5,155,56,0,532,427,55,2026,5,6,7,6,2527,1606,4133,959,0
27.4,46,8,12,31,11,32,7,28,36,13,0,0,5,5,20,10,0,468,524,0,2026,3,17,5,5,94,84,178,992,0
34.8,44,197,228,177,201,246,181,166,140,183,0,0,1,5,20,10,0,628,558,24,2026,5,12,6,5,1049,670,1719,1186,0
27.4,47,24,12,16,16,13,30,5,26,6,0,0,19,5,14,9,0,446,458,0,2026,1,7,19,6,81,67,148,904,0
35.5,45,1355,1367,1155,1167,1488,1012,1126,1129,1022,34,27,341,180,126,55,0,403,379,149,2026,6,10,16,6,6532,4289,10821,782,61
32.5,43,28,24,27,18,22,24,19,15,26,0,0,42,5,20,10,0,658,616,0,2026,4,18,21,2,119,84,203,1274,0
28.8,38,113,122,133,109,98,99,108,87,99,0,1,143,5,211,97,0,323,311,176,2026,1,11,12,3,575,393,968,634,1
32.2,48,663,934,678,750,703,515,618,535,686,38,34,291,180,422,151,0,383,385,371,2026,6,19,12,0,3728,2354,6082,768,72
33.4,55,18,31,25,21,22,22,22,21,21,0,0,9,5,20,10,0,566,584,28,2026,6,7,6,3,117,86,203,1150,0
34.1,41,31,22,28,25,25,19,19,25,22,0,0,162,5,165,61,0,541,561,0,2026,4,11,20,2,131,85,216,1102,0
33.4,62,34,25,28,24,30,12,34,11,1,0,0,14,5,20,10,0,684,690,0,2026,6,4,22,4,141,58,199,1374,0
32.8,38,1880,1461,1180,1854,1469,1458,1472,1402,1317,37,27,475,180,123,52,0,360,332,189,2026,3,16,15,1,7844,5649,13493,692,64
34.0,49,29,35,26,23,19,13,25,9,30,0,0,3,5,20,10,0,635,542,0,2026,5,5,5,5,132,77,209,1177,0
31.9,38,2515,1647,2139,1765,2069,1693,1140,1551,1612,28,38,423,180,49,25,0,331,336,230,2026,3,17,11,5,10135,5996,16131,667,66
34.1,47,187,161,175,173,171,146,141,128,135,0,0,65,5,20,10,0,566,644,0,2026,4,6,21,1,867,550,1417,1210,0
